9 519
41 238 52
1 821 57
65 56 93
93 131 43
63 314 2
66 211 4
43 77 53
58 270 24
6 634 14
33 410 87
91 981 39
49 425 67
29 68 50
61 159 9
56 657 27
43 639 31
37 918 84
21 464 59
10 830 44
92 189 85
42 594 29
39 573 26
97 633 27
85 917 49
48 671 23
13 268 9
65 944 64
53 428 23
7 463 2
82 637 25
86 370 78
55 893 38
8 178 72
48 4 76
96 363 2
14 613 77
20 808 59
37 618 18
19 716 65
95 982 74
100 806 79
7 146 31
54 820 26
24 548 85
9 637 64
98 895 96
99 328 99
7 960 62
13 348 82
15 74 83
1 345 5
34 90 89
39 774 55
64 987 78
3 204 66
7 627 23
81 160 10
97 390 21
25 872 78
22 809 46
94 448 90
20 584 90
14 313 33
48 251 18
37 332 60
70 993 95
49 297 74
99 904 78
21 563 39
67 624 90
8 365 95
5 534 41
19 394 74
99 737 44
89 61 89
72 33 65
13 600 39
89 703 39
36 60 89
3 230 45
66 386 77
2 488 47
31 833 88
2 305 9
29 191 14
12 65 53
51 348 63
38 568 34
82 785 19
88 470 78
45 183 68
80 229 9
63 484 97
74 188 9
39 820 49
20 320 31
37 296 54
77 780 11
79 269 98
47 495 45
43 290 9
51 968 66
84 350 27
20 586 98
55 407 12
66 8 35
87 767 42
38 164 20
78 782 27
87 280 59
13 120 25
8 154 95
98 295 77
44 739 70
48 661 1
19 399 34
37 566 92
24 900 16
69 420 59
22 61 96
1 698 42
15 285 23
55 581 45
31 400 3
7 703 39
54 728 12
13 520 67
60 693 63
30 597 7
7 624 20
28 170 2
98 950 61
76 773 34
51 910 94
79 654 72
85 894 20
34 318 17
71 619 20
7 588 44
38 825 35
96 543 69
80 366 16
59 590 1
71 375 28
39 713 37
84 612 15
76 906 69
23 924 47
58 541 33
92 928 55
82 842 37
10 600 67
26 235 10
23 286 19
40 324 3
78 111 66
66 351 94
85 589 15
76 3 91
90 562 35
8 936 86
79 535 16
8 315 57
76 366 23
66 774 86
10 747 31
21 856 69
29 213 25
57 260 69
76 823 30
21 721 39
60 61 41
66 434 58
52 665 18
74 174 68
21 848 84
80 15 99
24 776 90
83 875 49
82 943 65
52 632 63
91 618 79
45 533 78
97 516 29
18 998 21
84 559 59
16 19 63
33 276 79
35 978 81
45 490 54
6 979 31
54 266 7
10 930 44
71 663 61
30 4 78
97 254 72
87 811 27
25 758 99
100 498 77
24 583 66
90 300 62
81 930 40
10 476 90
12 521 8
86 987 79
82 534 61
94 881 12
84 436 44
62 294 75
63 823 33
38 677 35
11 158 39
91 25 98
53 659 96
49 247 20
